site,url,title,content_snippet,source,ground_truth
huggingface-transformers,https://huggingface.co/datasets,Datasets – Hugging Face,"  *   * * * *   * [Log In](https://huggingface.co/login)   * [Sign Up](https://huggingface.co/join)   ### Edit Datasets filters   * Main    * Tasks    * Libraries    * Languages    * Licenses    * Other    Modalities  [ 3D ](https://huggingface.co/datasets?modality=modality%3A3d)[ Audio ](https://huggingface.co/datasets?modality=modality%3Aaudio)[ Document ](https://huggingface.co/datasets?modality=modality%3Adocument)[ Geospatial ](https://huggingface.co/datasets?modality=modality%3Ageospatial)[ Image ](https://huggingface.co/datasets?modality=modality%3Aimage)[ Tabular ](https://huggingface.co/datasets?modality=modality%3Atabular)[ Text ](https://huggingface.co/datasets?modality=modality%3Atext)[ Time-series ](https://huggingface.co/datasets?modality=modality%3Atimeseries)[ Video ](https://huggingface.co/datasets?modality=modality%3Avideo) Size (rows) Reset Size < 1K > 1T Format  [ json ](https://huggingface.co/datasets?format=format%3Ajson)[ csv ](https://huggingface.co/datasets?format=format%3Acsv)[ parquet ](https://huggingface.co/datasets?format=format%3Aparquet)[ optimized-parquet ](https://huggingface.co/datasets?format=format%3Aoptimized-parquet)[ imagefolder ](https://huggingface.co/datasets?format=format%3Aimagefolder)[ soundfolder ](https://huggingface.co/datasets?format=format%3Aaudiofolder)[ webdataset ](https://huggingface.co/datasets?format=format%3Awebdataset)[ text ](https://huggingface.co/datasets?format=format%3Atext)[ arrow ](https://huggingface.co/datasets?format=format%3Aarrow) Type [ Benchmark ](https://huggingface.co/datasets?benchmark=benchmark%3Aofficial)[ Traces ](https://huggingface.co/datasets?format=format%3Aagent-traces) Apply filters # Datasets 988,070 [Full-text search](https://huggingface.co/search/full-text?type=dataset) Add filters Sort: Trending System theme Company [TOS](https://huggingface.co/terms-of-service) [Privacy](https://huggingface.co/privacy) [About](https://huggingface.co/huggingface) [Careers](https://apply.workable",v14_cache,
huggingface-transformers,https://huggingface.co/pricing,Hugging Face – Pricing,"  *   * * * *   * [Log In](https://huggingface.co/login)   * [Sign Up](https://huggingface.co/join)   # Leveling up AI collaboration and compute. Give your personal account or your organization the most advanced platform to build AI. PRO ### PRO Account Boost your personal HF experience Subscribe for $9 per month [Get PRO](https://huggingface.co/subscribe/pro)   * 10× private storage capacity   * 2× public storage capacity   * 20× included inference credits   * 8× ZeroGPU quota and highest queue priority   * Spaces Dev Mode & ZeroGPU Spaces hosting   * Personal blog publishing   * Dataset Viewer for private datasets   * Show your support with a PRO badge   ### Team Instant setup for growing teams Subscribe for $20 per user per month [Get Team (via credit card)](https://huggingface.co/enterprise)   * SSO support (SAML & OIDC)   * Data location control with Storage Regions   * Detailed action reviews with Audit Logs   * Granular access control via Resource Groups   * Repository usage Analytics   * Advanced auth policies and repository visibility controls   * Centralized token control and approvals   * Dataset Viewer for private datasets   * Advanced compute options for Spaces   * All organization members get ZeroGPU and Inference Providers PRO benefits   ### Enterprise Custom onboarding and enterprise features Starting at $50 per user per month [Contact Sales](https://huggingface.co/contact/sales)   * All benefits from the Team plan   * Highest storage, bandwidth, and API rate limits   * Automated user management with SCIM provisioning   * Advanced security and access controls   * Managed billing with annual commitments   * Legal and Compliance processes   * Dedicated support   [View all Enterprise features →](https://huggingface.co/docs/hub/enterprise) Need support to adopt the HF Hub in your organization? View our [Expert Support](https://huggingface.co/support). ### Data Storage NEW Store your AI models, datasets, Spaces, and Buckets with simple per-TB pricing.   O",v14_cache,
huggingface-transformers,https://huggingface.co/papers/2604.19295,Paper page - TEMPO: Scaling Test-time Training for Large Reasoning Models,"Paper page - TEMPO: Scaling Test-time Training for Large Reasoning Models Hugging Face Models Datasets Spaces Buckets new Docs Enterprise Pricing Log In Sign Up TEMPO: Scaling Test-time Training for Large Reasoning Models: models stop learning once training ends. Test-time training (TTT) tries to change that by letting models keep improving on new problems at inference. But current approaches plateau fast: the self-generated reward signal drifts and the model collapses into repeating one reasoning pattern. TEMPO fixes this with a simple EM-style loop: periodically recalibrate the reward critic on a small labeled set, then refine the policy on unlabeled test questions. This keeps the training signal honest as the model evolves. results: OLMO3-7B 33→51% on AIME 2024, Qwen3-14B 42→66%, still climbing at 350 steps when baselines flatline. Diversity (pass@k) stays high instead of collapsing. also generalizes to non-math reasoning tasks.&lt;/p>\n&quot;,&quot;updatedAt&quot;:&quot;2026-04-22T05:19:26.741Z&quot;,&quot;author&quot;:{&quot;_id&quot;:&quot;66554e83a2d7a882a876ffc3&quot;,&quot;avatarUrl&quot;:&quot;/avatars/9803448705f282b72d82a66cb22338b2.svg&quot;,&quot;fullname&quot;:&quot;qingyang zhang&quot;,&quot;name&quot;:&quot;qingyangzhang&quot;,&quot;type&quot;:&quot;user&quot;,&quot;isPro&quot;:false,&quot;isHf&quot;:false,&quot;isHfAdmin&quot;:false,&quot;isMod&quot;:false,&quot;followerCount&quot;:7,&quot;isUserFollowing&quot;:false}},&quot;numEdits&quot;:1,&quot;identifiedLanguage&quot;:{&quot;language&quot;:&quot;en&quot;,&quot;probability&quot;:0.8937668800354004},&quot;editors&quot;:[&quot;qingyangzhang&quot;],&quot;editorAvatarUrls&quot;:[&quot;/avatars/9803448705f282b72d82a66cb22338b2.svg&quot;],&quot;reactions&quot;:[],&quot;isReport&quot;:false}},{&quot;id&quot;:&quot;69e93e94ad6ec00a33242171&quot;,&quot;author&quot;:{&quot;_id&quot;:&quot;65243980050781c16f234f1f&quot;,&quot;avatarUrl&quot;:&quot;/avatars/743a009681d5d554c27e04300db9f267.svg&quot;,&quot;f",live_fetch,
huggingface-transformers,https://huggingface.co/spaces/chiahow28/trade_profile_explorer,Trade Profile Explorer - a Hugging Face Space by Chiahow28,Trade Profile Explorer - a Hugging Face Space by Chiahow28 Spaces Chiahow28 / Trade_profile_explorer like 0 Running App Files Files Community Fetching metadata from the HF Docker repository... Refreshing,live_fetch,
huggingface-transformers,https://huggingface.co/datasets/electricsheepasia/asia-faostat-availability-based-on-supply-utilization-accounts-sua,electricsheepasia/asia-faostat-availability-based-on-supply-utilization-accounts-sua · Datasets at Hugging Face,"electricsheepasia/asia-faostat-availability-based-on-supply-utilization-accounts-sua · Datasets at Hugging Face Hugging Face Models Datasets Spaces Buckets new Docs Enterprise Pricing Log In Sign Up Datasets: electricsheepasia / asia-faostat-availability-based-on-supply-utilization-accounts-sua like 0 Follow Electric Sheep Asia 1 Modalities: Tabular Text Formats: parquet Languages: English Size: 100K - 1M Tags: asia faostat agriculture food-security tabular Libraries: Datasets pandas Polars + 1 License: cc-by-4.0 Dataset card Data Studio Files Files and versions xet Community Dataset Viewer Auto-converted to Parquet API Embed Duplicate Data Studio Subset (1) default · 170k rows default (170k rows) Split (2) train · 136k rows train (136k rows) test (34.1k rows) SQL Console Domain Code string classes 1 value Domain string classes 1 value Area Code int64 2 237 Area string classes 34 values Indicator Code int64 4k 4.04k Indicator string classes 25 values Food Group Code string classes 17 values Food Group string classes 17 values Element Code int64 6.12k 6.21k Element string classes 1 value Year Code int64 2.01k 2.02k Year string date 2010-01-01 00:00:00 2023-01-01 00:00:00 Unit string classes 4 values Value float64 0 6.81k SUA Availability (based on supply utilization accounts) 19 Bolivia (Plurinational State of) 4,004 Protein supply FG0 All food groups 6,123 Value 2,010 2010 g/cap/d 71.1 SUA Availability (based on supply utilization accounts) 19 Bolivia (Plurinational State of) 4,004 Protein supply FG0 All food groups 6,123 Value 2,011 2011 g/cap/d 71.3 SUA Availability (based on supply utilization accounts) 19 Bolivia (Plurinational State of) 4,004 Protein supply FG0 All food groups 6,123 Value 2,012 2012 g/cap/d 70.9 SUA Availability (based on supply utilization accounts) 19 Bolivia (Plurinational State of) 4,004 Protein supply FG0 All food groups 6,123 Value 2,013 2013 g/cap/d 70.2 SUA Availability (based on supply utilization accounts) 19 Bolivia (Plurinational St",live_fetch,
huggingface-transformers,https://huggingface.co/spaces/kiruthigan17/salespredictionbackend,SalesPredictionBackend - a Hugging Face Space by Kiruthigan17,SalesPredictionBackend - a Hugging Face Space by Kiruthigan17 Spaces Kiruthigan17 / SalesPredictionBackend like 0 Sleeping App Files Files Community Fetching metadata from the HF Docker repository... Restart this Space This Space is sleeping due to inactivity.,live_fetch,
huggingface-transformers,https://huggingface.co/papers/2503.16282,"Paper page - Generalized Few-shot 3D Point Cloud Segmentation with Vision-Language
  Model","Paper page - Generalized Few-shot 3D Point Cloud Segmentation with Vision-Language Model Hugging Face Models Datasets Spaces Buckets new Docs Enterprise Pricing Log In Sign Up \n&lt;li>Generalizing to segment novel classes using few support annotations while preserving previously learned knowledge by leveraging vision-language models. &lt;/li>\n&lt;li>Releasing two more challenging benchmarks with diverse novel classes for comprehensive generalization evaluation.&lt;/li>\n&lt;/ol>\n&quot;,&quot;updatedAt&quot;:&quot;2025-03-26T12:57:46.336Z&quot;,&quot;author&quot;:{&quot;_id&quot;:&quot;65e5eae6958b39864e8b683e&quot;,&quot;avatarUrl&quot;:&quot;/avatars/b6a857e7b725767197dd95bc876f8ad1.svg&quot;,&quot;fullname&quot;:&quot;Zhaochong An&quot;,&quot;name&quot;:&quot;ZhaochongAn&quot;,&quot;type&quot;:&quot;user&quot;,&quot;isPro&quot;:false,&quot;isHf&quot;:false,&quot;isHfAdmin&quot;:false,&quot;isMod&quot;:false,&quot;followerCount&quot;:11,&quot;isUserFollowing&quot;:false}},&quot;numEdits&quot;:1,&quot;identifiedLanguage&quot;:{&quot;language&quot;:&quot;en&quot;,&quot;probability&quot;:0.9505012631416321},&quot;editors&quot;:[&quot;ZhaochongAn&quot;],&quot;editorAvatarUrls&quot;:[&quot;/avatars/b6a857e7b725767197dd95bc876f8ad1.svg&quot;],&quot;reactions&quot;:[],&quot;isReport&quot;:false}},{&quot;id&quot;:&quot;67e35ac04fe19c235411357d&quot;,&quot;author&quot;:{&quot;_id&quot;:&quot;63d3e0e8ff1384ce6c5dd17d&quot;,&quot;avatarUrl&quot;:&quot;https://cdn-avatars.huggingface.co/v1/production/uploads/1674830754237-63d3e0e8ff1384ce6c5dd17d.jpeg&quot;,&quot;fullname&quot;:&quot;Librarian Bot (Bot)&quot;,&quot;name&quot;:&quot;librarian-bot&quot;,&quot;type&quot;:&quot;user&quot;,&quot;isPro&quot;:false,&quot;isHf&quot;:false,&quot;isHfAdmin&quot;:false,&quot;isMod&quot;:false,&quot;followerCount&quot;:355,&quot;isUserFollowing&quot;:false},&quot;createdAt&quot;:&quot;2025-03-26T01:39:12.000Z&quot;,&quot;type&quot;:&quot;comment&quot;,&quot;data&quot;:{&quot;edited&quo",live_fetch,
huggingface-transformers,https://huggingface.co/papers/2506.15672,"Paper page - SwarmAgentic: Towards Fully Automated Agentic System Generation via
  Swarm Intelligence","Paper page - SwarmAgentic: Towards Fully Automated Agentic System Generation via Swarm Intelligence Hugging Face Models Datasets Spaces Buckets new Docs Enterprise Pricing Log In Sign Up TLDR:&lt;br>SwarmAgentic is a fully automated framework for agentic system generation that operates without any human intervention, relying solely on a task description and an objective function. It achieves from-scratch agent creation, self-optimizing agent functionality, and self-optimizing inter-agent collaboration through a language-driven particle swarm optimization process. Extensive experiments on open-ended tasks demonstrate strong performance gains, enabling truly self-evolving agentic systems.&lt;/p>\n&quot;,&quot;updatedAt&quot;:&quot;2025-06-19T07:56:51.912Z&quot;,&quot;author&quot;:{&quot;_id&quot;:&quot;648cbea3dee03837c823cbf2&quot;,&quot;avatarUrl&quot;:&quot;/avatars/3f8c36436a5cbff2948df099ae604418.svg&quot;,&quot;fullname&quot;:&quot;Shuo Chen&quot;,&quot;name&quot;:&quot;ShuoChen99&quot;,&quot;type&quot;:&quot;user&quot;,&quot;isPro&quot;:false,&quot;isHf&quot;:false,&quot;isHfAdmin&quot;:false,&quot;isMod&quot;:false,&quot;followerCount&quot;:2,&quot;isUserFollowing&quot;:false}},&quot;numEdits&quot;:0,&quot;identifiedLanguage&quot;:{&quot;language&quot;:&quot;en&quot;,&quot;probability&quot;:0.8590066432952881},&quot;editors&quot;:[&quot;ShuoChen99&quot;],&quot;editorAvatarUrls&quot;:[&quot;/avatars/3f8c36436a5cbff2948df099ae604418.svg&quot;],&quot;reactions&quot;:[],&quot;isReport&quot;:false}},{&quot;id&quot;:&quot;68560c35777575f5e60232b0&quot;,&quot;author&quot;:{&quot;_id&quot;:&quot;63d3e0e8ff1384ce6c5dd17d&quot;,&quot;avatarUrl&quot;:&quot;https://cdn-avatars.huggingface.co/v1/production/uploads/1674830754237-63d3e0e8ff1384ce6c5dd17d.jpeg&quot;,&quot;fullname&quot;:&quot;Librarian Bot (Bot)&quot;,&quot;name&quot;:&quot;librarian-bot&quot;,&quot;type&quot;:&quot;user&quot;,&quot;isPro&quot;:false,&quot;isHf&quot;:false,&quot;isHfAdmin&quot;:false,&quot;is",live_fetch,
huggingface-transformers,https://huggingface.co/datasets/jotbruh2/claude-opus-4.6-4.7-reasoning-8.7k,jotbruh2/claude-opus-4.6-4.7-reasoning-8.7k · Datasets at Hugging Face,"jotbruh2/claude-opus-4.6-4.7-reasoning-8.7k · Datasets at Hugging Face Hugging Face Models Datasets Spaces Buckets new Docs Enterprise Pricing Log In Sign Up Datasets: Duplicated from angrygiraffe/claude-opus-4.6-4.7-reasoning-8.7k jotbruh2 / claude-opus-4.6-4.7-reasoning-8.7k like 0 Tasks: Text Generation Question Answering Modalities: Text Formats: json Languages: English Size: 10K - 100K Tags: sft chain-of-thought coding math roleplay science + 5 Libraries: Datasets Dask Croissant License: apache-2.0 Dataset card Data Studio Files Files and versions xet Community 1 \nThe user is asking a geometry question — whether a 5-12-13 triangle is a right triangle, and what its area is. This is tagged as a coding/CS tutoring context, but the question itself is pure math. Let me think about the best approach.\n\nFor the right triangle check, the Pythagorean theorem is the definitive test: if a² + b² = c² where c is the longest side, it's a right triangle. Here, 5² + 12² = 25 + 144 = 169 = 13². So yes, it's a right triangle. This is actually one of the well-known Pythagorean triples (5, 12, 13).\n\nFor the area, since it's a right triangle, the two legs serve as base and height, making the calculation straightforward: (1/2)(5)(12) = 30. I should also verify with Heron's formula to reinforce the concept and show the student a cross-check technique — that's good pedagogical practice for a tutoring context. With s = 15, Heron's formula gives sqrt(15 × 10 × 3 × 2) = sqrt(900) = 30. Confirmed.\n\nI should present this in clear steps since the system prompt asks me to explain concepts clearly with examples. I'll also include the triangle inequality check as a completeness bonus — it reinforces good mathematical habits even though it's obvious for this triple.\n&lt;/think>\n\nStep 1: Check if it's a right triangle using the Pythagorean theorem.\nFor a right triangle with hypotenuse c: a^2 + b^2 = c^2.\nThe longest side is 13, so check: 5^2 + 12^2 = 25 + 144 = 169 = 13^2.\nYes, it sa",live_fetch,
huggingface-transformers,https://huggingface.co/amoghkaja/ppo-pyramids,amoghkaja/ppo-Pyramids · Hugging Face,"amoghkaja/ppo-Pyramids · Hugging Face Hugging Face Models Datasets Spaces Buckets new Docs Enterprise Pricing Log In Sign Up amoghkaja / ppo-Pyramids like 0 Reinforcement Learning ml-agents TensorBoard ONNX Pyramids deep-reinforcement-learning ML-Agents-Pyramids Model card Files Files and versions xet Metrics Training metrics Community Use this model Instructions to use amoghkaja/ppo-Pyramids with libraries, inference providers, notebooks, and local apps. Follow these links to get started. Libraries ml-agents How to use amoghkaja/ppo-Pyramids with ml-agents: mlagents-load-from-hf --repo-id=""amoghkaja/ppo-Pyramids"" --local-dir=""./download: string[]s"" Notebooks Google Colab Kaggle ppo&lt;/strong> Agent playing &lt;strong>Pyramids&lt;/strong>&quot;,&quot;children&quot;:[{&quot;id&quot;:&quot;usage-with-ml-agents&quot;,&quot;label&quot;:&quot;Usage (with ML-Agents)&quot;,&quot;children&quot;:[{&quot;id&quot;:&quot;resume-the-training&quot;,&quot;label&quot;:&quot;Resume the training&quot;,&quot;children&quot;:[],&quot;isValid&quot;:true,&quot;title&quot;:&quot;Resume the training&quot;},{&quot;id&quot;:&quot;watch-your-agent-play&quot;,&quot;label&quot;:&quot;Watch your Agent play&quot;,&quot;children&quot;:[],&quot;isValid&quot;:true,&quot;title&quot;:&quot;Watch your Agent play&quot;}],&quot;isValid&quot;:true,&quot;title&quot;:&quot;Usage (with ML-Agents)&quot;}],&quot;isValid&quot;:true,&quot;title&quot;:&quot;ppo Agent playing Pyramids&quot;}]}""> ppo Agent playing Pyramids Usage (with ML-Agents) Resume the training Watch your Agent play ppo Agent playing Pyramids This is a trained model of a ppo agent playing Pyramids using the Unity ML-Agents Library . Usage (with ML-Agents) The Documentation: https://unity-technologies.github.io/ml-agents/ML-Agents-Toolkit-Documentation/ We wrote a complete tutorial to learn to train your first agent using ML-Agents and publish it to the Hub: A short tutorial where you teach Huggy the Dog 🐶 to fetch the stick and then play with h",live_fetch,
